climate_proj,NAME,species,toe
RCP 2.6,Bird Islands,Anarhichas lupus,2050
RCP 2.6,Brier Island,Chionoecetes opilio,2015
RCP 2.6,Canso Ledges - Sugar Harbour Islands,Chionoecetes opilio,2025
RCP 2.6,"Central Scotian Slope, Rise and Abyss",Anarhichas lupus,2015
RCP 2.6,Chebogue,Anarhichas lupus,2027
RCP 2.6,Corsair/Georges Canyons Conservation Area,Hippoglossus hippoglossus,2019
RCP 2.6,Eastern Canyons,Anarhichas lupus,2035
RCP 2.6,Eastern Shoal,Chionoecetes opilio,2027
RCP 2.6,Eastern Shore Islands,Chionoecetes opilio,2035
RCP 2.6,Emerald Basin Sponge Conservation Area,Chionoecetes opilio,2027
RCP 2.6,Fundian Channel-Browns Bank,Chionoecetes opilio,2022
RCP 2.6,Georges Bank,Anarhichas lupus,2019
RCP 2.6,"Head Harbour, West Isles and The Passages",Amblyraja radiata,2015
RCP 2.6,Horse Mussel Reefs,Amblyraja radiata,2015
RCP 2.6,Jordan Basin Conservation Area,Anarhichas lupus,2015
RCP 2.6,LaHave Basin,Chionoecetes opilio,2027
RCP 2.6,LaHave Islands,Amblyraja radiata,2068
RCP 2.6,Long Eddy,Amblyraja radiata,2015
RCP 2.6,Lophelia Coral Conservation Area,Anarhichas lupus,2035
RCP 2.6,Machias Seal Island Migratory Bird Sanctuary,Amblyraja radiata,2027
RCP 2.6,Middle Bank-Canso Bank,Chionoecetes opilio,2035
RCP 2.6,Misaine Bank and Laurentian Channel,Chionoecetes opilio,2044
RCP 2.6,North of Emerald Basin Sea Pen Field,Chionoecetes opilio,2035
RCP 2.6,Northeast Channel Coral Conservation Area,Anarhichas lupus,2017
RCP 2.6,Northern Gulf of Maine,Anarhichas lupus,2015
RCP 2.6,Port Joli and Surrounding Areas,Amblyraja radiata,2067
RCP 2.6,Roseway Bank,Chionoecetes opilio,2027
RCP 2.6,Sable Island Bank,Chionoecetes opilio,2019
RCP 2.6,Sambro Bank Sponge Conservation Area,Chionoecetes opilio,2015
RCP 2.6,Sambro Ledges - Prospect,Chionoecetes opilio,2027
RCP 2.6,Scotian Gulf,Chionoecetes opilio,2015
RCP 2.6,South Grand Manan,Anarhichas lupus,2015
RCP 2.6,St Anns Bank Marine Protected Area,Chionoecetes opilio,2067
RCP 2.6,The Gully Marine Protected Area,Chionoecetes opilio,2020
RCP 2.6,Western Emerald Bank Conservation Area,Chionoecetes opilio,2015
RCP 2.6,Western Jordan Basin,Anarhichas lupus,2015
RCP 8.5,Bird Islands,Anarhichas lupus,2041
RCP 8.5,Brier Island,Anarhichas lupus,2015
RCP 8.5,Canso Ledges - Sugar Harbour Islands,Chionoecetes opilio,2015
RCP 8.5,"Central Scotian Slope, Rise and Abyss",Amblyraja radiata,2015
RCP 8.5,Chebogue,Anarhichas lupus,2015
RCP 8.5,Corsair/Georges Canyons Conservation Area,Hippoglossus hippoglossus,2015
RCP 8.5,Eastern Canyons,Chionoecetes opilio,2030
RCP 8.5,Eastern Shoal,Chionoecetes opilio,2029
RCP 8.5,Eastern Shore Islands,Chionoecetes opilio,2025
RCP 8.5,Emerald Basin Sponge Conservation Area,Chionoecetes opilio,2020
RCP 8.5,Fundian Channel-Browns Bank,Chionoecetes opilio,2015
RCP 8.5,Georges Bank,Anarhichas lupus,2015
RCP 8.5,"Head Harbour, West Isles and The Passages",Amblyraja radiata,2015
RCP 8.5,Horse Mussel Reefs,Amblyraja radiata,2015
RCP 8.5,Jordan Basin Conservation Area,Amblyraja radiata,2015
RCP 8.5,LaHave Basin,Chionoecetes opilio,2018
RCP 8.5,LaHave Islands,Amblyraja radiata,2048
RCP 8.5,Long Eddy,Amblyraja radiata,2015
RCP 8.5,Lophelia Coral Conservation Area,Chionoecetes opilio,2030
RCP 8.5,Machias Seal Island Migratory Bird Sanctuary,Amblyraja radiata,2015
RCP 8.5,Middle Bank-Canso Bank,Chionoecetes opilio,2039
RCP 8.5,Misaine Bank and Laurentian Channel,Chionoecetes opilio,2029
RCP 8.5,North of Emerald Basin Sea Pen Field,Chionoecetes opilio,2025
RCP 8.5,Northeast Channel Coral Conservation Area,Anarhichas lupus,2015
RCP 8.5,Northern Gulf of Maine,Anarhichas lupus,2015
RCP 8.5,Pearl Island,Pollachius virens,2062
RCP 8.5,Point Michaud and Basque Islands,Gadus morhua,2076
RCP 8.5,Port Joli and Surrounding Areas,Amblyraja radiata,2048
RCP 8.5,Roseway Bank,Chionoecetes opilio,2018
RCP 8.5,Sable Island Bank,Chionoecetes opilio,2015
RCP 8.5,Sambro Bank Sponge Conservation Area,Chionoecetes opilio,2015
RCP 8.5,Sambro Ledges - Prospect,Chionoecetes opilio,2018
RCP 8.5,Scotian Gulf,Anarhichas lupus,2015
RCP 8.5,South Grand Manan,Amblyraja radiata,2015
RCP 8.5,Southern Bight,Pollachius virens,2048
RCP 8.5,St Anns Bank Marine Protected Area,Chionoecetes opilio,2039
RCP 8.5,The Gully Marine Protected Area,Chionoecetes opilio,2015
RCP 8.5,Western Emerald Bank Conservation Area,Chionoecetes opilio,2015
RCP 8.5,Western Jordan Basin,Amblyraja radiata,2015
